age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,predicted_probability
45,student,single,primary,no,4186.0,yes,no,cellular,28,sep,196.0,3,-1,0,unknown,0,0.15932247293832508
38,blue-collar,married,tertiary,no,1502.0,no,no,unknown,30,may,110.0,1,-1,0,unknown,0,0.19942624866713973
47,retired,married,secondary,no,1344.0,no,no,telephone,24,feb,54.0,1,-1,0,unknown,0,0.19929371605200594
58,blue-collar,married,secondary,no,2695.0,yes,no,cellular,24,apr,409.0,2,-1,0,unknown,0,0.15891205780873988
37,management,married,tertiary,yes,656.0,yes,yes,cellular,31,mar,272.0,3,-1,0,unknown,0,0.12047263017717338
37,housemaid,divorced,secondary,no,2606.0,yes,no,telephone,31,oct,29.0,6,9,2,unknown,1,0.286273842264486
58,self-employed,divorced,secondary,no,-805.0,yes,no,telephone,14,jul,269.0,1,-1,0,unknown,0,0.14333634881898072
49,self-employed,married,unknown,yes,-525.0,yes,no,telephone,22,oct,52.0,6,-1,0,unknown,0,0.13185962059746864
34,retired,married,secondary,no,-1801.0,yes,yes,telephone,2,oct,1201.0,2,-1,0,unknown,0,0.11567210191767238
46,technician,married,primary,no,7110.0,no,yes,telephone,27,oct,90.0,2,7,0,unknown,0,0.16894707916181698
34,management,divorced,primary,no,1683.0,no,no,telephone,15,aug,357.0,2,-1,2,failure,0,0.2826762709367023
34,admin,divorced,secondary,yes,4521.0,yes,no,unknown,1,may,320.0,7,-1,0,unknown,0,0.1301563429807863
42,entrepreneur,single,tertiary,no,-1242.0,yes,no,unknown,22,feb,353.0,1,-1,0,success,0,0.16318988538887516
18,student,married,secondary,no,1046.0,no,no,cellular,1,dec,169.0,6,-1,0,success,0,0.19368762346631616
19,admin,married,primary,no,2879.0,no,no,unknown,12,sep,23.0,1,-1,0,unknown,1,0.20929344872383696
33,management,married,tertiary,no,5178.0,yes,no,cellular,22,jan,1174.0,9,-1,0,unknown,1,0.14949310600882565
27,blue-collar,married,primary,no,-6.0,yes,no,unknown,15,may,64.0,2,-1,0,unknown,0,0.17270107888259748
43,housemaid,married,primary,no,494.0,no,no,unknown,26,dec,441.0,20,-1,0,failure,1,0.20366605740119603
29,unemployed,married,secondary,no,-480.0,no,no,telephone,18,dec,44.0,3,-1,0,unknown,0,0.19778296456205233
23,admin,married,secondary,no,1198.0,yes,no,unknown,15,mar,99.0,1,-1,0,unknown,0,0.17763764351525815
57,entrepreneur,divorced,secondary,yes,-1050.0,yes,no,unknown,7,aug,246.0,1,-1,0,failure,0,0.11815202404190348
37,technician,single,tertiary,no,-2000.0,yes,no,unknown,12,aug,160.0,1,-1,1,unknown,1,0.27994780686640947
40,self-employed,married,tertiary,no,2147.0,yes,yes,telephone,10,dec,953.0,2,-1,0,unknown,0,0.11360801274821002
22,technician,married,secondary,no,3176.0,no,no,telephone,2,dec,565.0,4,-1,0,unknown,0,0.15968834828781237
33,entrepreneur,married,secondary,no,-1348.0,yes,no,unknown,2,jan,765.0,1,8,0,unknown,0,0.14441277502012156
41,housemaid,single,secondary,no,-186.0,no,no,cellular,6,apr,307.0,1,-1,0,unknown,0,0.19353100058663908
26,blue-collar,single,secondary,no,1250.0,yes,yes,unknown,20,dec,74.0,3,-1,0,unknown,0,0.14786520045076956
44,entrepreneur,single,primary,no,5767.0,yes,no,telephone,6,oct,219.0,1,-1,0,failure,0,0.16542919932913502
32,student,single,tertiary,no,-2000.0,no,yes,telephone,28,aug,435.0,2,-1,0,unknown,0,0.13439738012287616
36,entrepreneur,married,primary,no,2612.0,no,yes,cellular,24,sep,20.0,2,8,0,unknown,0,0.17771159179610835
32,unemployed,married,primary,no,3198.0,no,no,telephone,27,sep,597.0,9,-1,0,unknown,0,0.17278291918778632
