
,checking_status,duration,credit_history,credit_amount,savings_status,employment,personal_status,age,class
0,<0,6,critical/other_existing_credit,1169,no_known_savings,>=7,male_single,67,good
1,0<=X<200,48,existing_paid,5951,<100,1<=X<4,female_div/dep/mar,22,bad
2,no_checking,12,critical/other_existing_credit,2096,<100,4<=X<7,male_single,49,good
3,<0,42,existing_paid,7882,<100,4<=X<7,male_single,45,good
4,<0,24,delayed_previously,4870,<100,1<=X<4,male_single,53,bad
5,no_checking,36,existing_paid,9055,no_known_savings,1<=X<4,male_single,35,good
6,no_checking,24,existing_paid,2835,500<=X<1000,>=7,male_single,53,good
7,0<=X<200,36,existing_paid,6948,<100,1<=X<4,male_single,35,good
8,no_checking,12,existing_paid,3059,>=1000,4<=X<7,male_div/sep,61,good
9,0<=X<200,30,critical/other_existing_credit,5234,<100,unemployed,male_mar/wid,28,bad
10,0<=X<200,12,existing_paid,1295,<100,<1,female_div/dep/mar,25,bad
11,<0,48,existing_paid,4308,<100,<1,female_div/dep/mar,24,bad
12,0<=X<200,12,existing_paid,1567,<100,1<=X<4,female_div/dep/mar,22,good
13,<0,24,critical/other_existing_credit,1199,<100,>=7,male_single,60,bad
14,<0,15,existing_paid,1403,<100,1<=X<4,female_div/dep/mar,28,good
15,<0,24,existing_paid,1282,100<=X<500,1<=X<4,female_div/dep/mar,32,bad
16,no_checking,24,critical/other_existing_credit,2424,no_known_savings,>=7,male_single,53,good
17,<0,30,no_credits/all_paid,8072,no_known_savings,<1,male_single,25,good
18,0<=X<200,24,existing_paid,12579,<100,>=7,female_div/dep/mar,44,bad
19,no_checking,24,existing_paid,3430,500<=X<1000,>=7,male_single,31,good
20,no_checking,9,critical/other_existing_credit,2134,<100,1<=X<4,male_single,48,good
21,<0,6,existing_paid,2647,500<=X<1000,1<=X<4,male_single,44,good
22,<0,10,critical/other_existing_credit,2241,<100,<1,male_single,48,good
23,0<=X<200,12,critical/other_existing_credit,1804,100<=X<500,<1,male_single,44,good
24,no_checking,10,critical/other_existing_credit,2069,no_known_savings,1<=X<4,male_mar/wid,26,good
25,<0,6,existing_paid,1374,<100,1<=X<4,male_single,36,good
26,no_checking,6,no_credits/all_paid,426,<100,>=7,male_mar/wid,39,good
27,>=200,12,all_paid,409,>=1000,1<=X<4,female_div/dep/mar,42,good
